Primary NAICS,Chemical,Clean Air Act Chemical,Metal,Metal Category,Carci0gen,Unit of Measure,Total Releases
324121,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.1653
325992,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,3089
325998,AMMONIA,0,0,0,0,Pounds,0
325199,ANILINE,1,0,0,0,Pounds,4536
325199,O-TOLUIDINE,1,0,0,1,Pounds,3405
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.27
336350,COPPER,0,1,1,0,Pounds,773
325211,N-BUTYL ALCOHOL,0,0,0,0,Pounds,582
322121,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
334412,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",0,0,0,0,Pounds,4015
336399,LEAD,1,1,1,1,Pounds,115.58
331491,LEAD,1,1,1,1,Pounds,0
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0
325211,STYRENE,1,0,0,1,Pounds,458
327992,ANILINE,1,0,0,0,Pounds,3.12
327992,CREOSOTE,0,0,0,1,Pounds,0.02
327992,CYCLOHEXANE,0,0,0,0,Pounds,23.64
221112,LEAD COMPOUNDS,1,1,1,0,Pounds,16.6
333912,CHROMIUM,1,1,1,1,Pounds,251
333298,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),1,1,1,0,Pounds,12
311511,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
311511,NITRIC ACID,0,0,0,0,Pounds,0
334415,LEAD,1,1,1,1,Pounds,0.425
336399,COPPER,0,1,1,0,Pounds,34.546
221112,MERCURY COMPOUNDS,1,1,1,0,Pounds,10.7
336112,METHYL METHACRYLATE,1,0,0,0,Pounds,288
325320,"1,2,4-TRIMETHYLBENZENE",0,0,0,0,Pounds,500
324199,NAPHTHALENE,1,0,0,0,Pounds,3504
324199,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,122
327310,AMMONIA,0,0,0,0,Pounds,80000
325992,BARIUM COMPOUNDS,0,1,3,0,Pounds,5184
336412,HYDROGEN FLUORIDE,1,0,0,0,Pounds,833
424710,CYCLOHEXANE,0,0,0,0,Pounds,892.02
424710,N-HEXANE,1,0,0,0,Pounds,1501.02
336412,LEAD COMPOUNDS,1,1,1,0,Pounds,6537.15
325199,METHANOL,1,0,0,0,Pounds,26.9
325188,BARIUM COMPOUNDS,0,1,3,0,Pounds,2467
332116,TRICHLOROETHYLENE,1,0,0,1,Pounds,12540
424690,METHYL METHACRYLATE,1,0,0,0,Pounds,45
424690,N-BUTYL ALCOHOL,0,0,0,0,Pounds,166
424690,TOLUENE,1,0,0,0,Pounds,570
331522,LEAD,1,1,1,1,Pounds,11.3945
325211,CRESOL (MIXED ISOMERS),1,0,0,0,Pounds,328
325211,FORMALDEHYDE,1,0,0,1,Pounds,924
324121,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.1
334418,LEAD,1,1,1,1,Pounds,625
313320,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,564
