Primary NAICS,Chemical,Clean Air Act Chemical,Metal,Carcinogen,Unit of Measure,5.2 Stack Air,On-site Release Total,Off-Site Release Total,Total Releases
221112,NAPHTHALENE,YES,NO,NO,Pounds,0,0,0,0
336350,NICKEL,YES,YES,YES,Pounds,0,0,0,0
332618,COPPER,NO,YES,NO,Pounds,0,0,1,16.077
424710,"1,2,4-TRIMETHYLBENZENE",NO,NO,NO,Pounds,0.12,3.78,0,3.78
326299,TOLUENE,YES,NO,NO,Pounds,7745,10327,0,10327
325992,PYRIDINE,NO,NO,NO,Pounds,184,694,432,1126
324199,ANTHRACENE,NO,NO,NO,Pounds,0.4,5.5,0,5.5
324199,NAPHTHALENE,YES,NO,NO,Pounds,2275,3594,0,3594
327320,LEAD,YES,YES,YES,Pounds,0.00006,0.27666,0,0.27666
327992,CARBON TETRACHLORIDE,YES,NO,YES,Pounds,0.04,0.58,0,0.58
311513,NITRIC ACID,NO,NO,NO,Pounds,0,5,0,5
332431,LEAD,YES,YES,YES,Pounds,0,0,6.19,7.71
424710,ETHYLBENZENE,YES,NO,NO,Pounds,8,9.31,0,9.31
424710,METHYL TERT-BUTYL ETHER,YES,NO,NO,Pounds,0,0,0,0
325414,METHANOL,YES,NO,NO,Pounds,57,1070,0,1070
331492,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,YES,NO,Pounds,5,5,0,5
331492,NICKEL,YES,YES,YES,Pounds,0,0,0,0
327992,FREON 113,NO,NO,NO,Pounds,0.44,6.52,0,6.52
327992,METHYL ISOBUTYL KETONE,YES,NO,NO,Pounds,2.54,37.62,0,37.62
333911,NICKEL,YES,YES,YES,Pounds,0,250,0,250
424710,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0.069,0.073,0,0.073
424710,ETHYLBENZENE,YES,NO,NO,Pounds,146,160.1,43.8,203.9
326150,DIISOCYANATES,YES,NO,NO,Pounds,0,0,0,0
311119,ZINC COMPOUNDS,NO,YES,NO,Pounds,0,0,0,0
337122,DIOXIN AND DIOXIN-LIKE COMPOUNDS,YES,NO,NO,Grams,0.1043,0.1043,0,0.1043
221112,AMMONIA,NO,NO,NO,Pounds,107478,107478,0,107478
325181,CHLORINE,YES,NO,NO,Pounds,1556.9,1659,0,1659
331112,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,67.3,68.33,0,68.33
424710,NAPHTHALENE,YES,NO,NO,Pounds,1,2,0,2
221112,AMMONIA,NO,NO,NO,Pounds,5376,5376,0,5376
334412,LEAD,YES,YES,YES,Pounds,1.9,1.9,0,2.3
322222,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
333611,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0.08,15.1,0,15.1
327992,PHENOL,YES,NO,NO,Pounds,0.79,11.74,0,11.74
424690,O-XYLENE,YES,NO,NO,Pounds,0,0,0,0
325211,FORMALDEHYDE,YES,NO,YES,Pounds,408,658,0,658
